size,shuffles,ninsts,nblocks
10,10,207511,9494
10,20,420108,17651
10,30,995370,37902
10,40,9363301,316390
10,50,26246352,877513
10,60,45995110,1534100
10,70,72394825,2411763
15,10,446219,19926
15,20,911446,37743
15,30,2181725,83317
15,40,2553933,96198
15,50,10906788,376537
15,60,94678731,3214112
15,70,488566757,16566523
20,10,780729,34601
20,20,1600936,66178
20,30,3849630,148182
20,40,4509673,171683
20,50,19330091,679409
20,60,168046706,5843417
20,70,867301317,30145098
25,10,1211089,53526
25,20,2488626,102963
25,30,5999085,232497
25,40,7030663,269918
25,50,30193596,1074924
25,60,262722981,9286872
25,70,1356066527,47934323
30,10,1737299,76701
30,20,3574516,148098
30,30,8630090,336262
30,40,10116903,390903
30,50,43497351,1563089
30,60,378707556,13544477
30,70,1954862387,69934198
35,10,2407359,108126
35,20,4906606,205583
35,30,11790645,463477
35,40,13816393,538638
35,50,59289356,2147904
35,60,516048431,18620232
35,70,2663736897,96148723
40,10,3125269,139801
40,20,6388896,267418
40,30,15384750,606142
40,40,18033133,705123
40,50,77473611,2821369
40,60,674649606,24506137
40,70,3482594057,126569898
45,10,3939029,175726
45,20,8069386,337603
45,30,19460405,768257
45,40,22815123,894358
45,50,98098116,3587484
45,60,854559081,31206192
45,70,4411481867,161201723
50,10,4848639,215901
50,20,9948076,416138
50,30,24017610,949822
50,40,28162363,1106343
50,50,121162871,4446249
50,60,1055776856,38720397
50,70,5450400327,200044198
