mapFilename,iterations,ninsts,nblocks
glider-10-10.json,10,550857,34884
glider-10-10.json,20,1097885,69591
glider-10-10.json,30,1644865,104291
glider-10-10.json,40,2191845,138991
glider-10-10.json,50,2738825,173691
glider-10-10.json,100,5473725,347191
glider-10-10.json,200,10943525,694191
glider-10-10.json,300,16413325,1041191
glider-11-11.json,10,667553,42580
glider-11-11.json,20,1328573,84350
glider-11-11.json,30,1989593,126120
glider-11-11.json,40,2650613,167890
glider-11-11.json,50,3311633,209660
glider-11-11.json,100,6616733,418510
glider-11-11.json,200,13226933,836210
glider-11-11.json,300,19837133,1253910
glider-12-12.json,10,794357,50717
glider-12-12.json,20,1586237,102019
glider-12-12.json,30,2378747,153510
glider-12-12.json,40,3167987,204020
glider-12-12.json,50,3956687,254368
glider-12-12.json,100,7883267,501032
glider-12-12.json,200,15733667,993532
glider-12-12.json,300,23584067,1486032
glider-13-13.json,10,935187,60463
glider-13-13.json,20,1857047,118449
glider-13-13.json,30,2778187,176219
glider-13-13.json,40,3699327,233989
glider-13-13.json,50,4620467,291759
glider-13-13.json,100,9226167,580609
glider-13-13.json,200,18437567,1158309
glider-13-13.json,300,27648967,1736009
glider-14-14.json,10,935187,60463
glider-14-14.json,20,1857047,118449
glider-14-14.json,30,2778187,176219
glider-14-14.json,40,3699327,233989
glider-14-14.json,50,4620467,291759
glider-14-14.json,100,9226167,580609
glider-14-14.json,200,18437567,1158309
glider-14-14.json,300,27648967,1736009
glider-15-15.json,10,1246865,81164
glider-15-15.json,20,2488535,162721
glider-15-15.json,30,3729725,244134
glider-15-15.json,40,4968785,324908
glider-15-15.json,50,6203465,404368
glider-15-15.json,100,12367265,798788
glider-15-15.json,200,24728735,1597789
glider-15-15.json,300,37014665,2374128
glider-16-16.json,10,1412583,90580
glider-16-16.json,20,2816363,180708
glider-16-16.json,30,4217563,270062
glider-16-16.json,40,5622093,360415
glider-16-16.json,50,7023323,449778
glider-16-16.json,100,14049003,902452
glider-16-16.json,200,28072103,1799322
glider-16-16.json,300,42049303,2682422
glider-17-17.json,10,1599827,103855
glider-17-17.json,20,3189887,207221
glider-17-17.json,30,4781867,311163
glider-17-17.json,40,6370577,414124
glider-17-17.json,50,7959797,517238
glider-17-17.json,100,15883097,1025968
glider-17-17.json,200,31731257,2043896
glider-17-17.json,300,47546657,3051996
glider-18-18.json,10,1783487,113456
glider-18-18.json,20,3556127,226366
glider-18-18.json,30,5333327,340644
glider-18-18.json,40,7121627,458252
glider-18-18.json,50,8907047,574996
glider-18-18.json,100,17760377,1136585
glider-18-18.json,200,35426777,2247685
glider-18-18.json,300,53093177,3358785
glider-19-19.json,10,1988163,126763
glider-19-19.json,20,3958913,251292
glider-19-19.json,30,5928733,375542
glider-19-19.json,40,7898553,499792
glider-19-19.json,50,9868373,624042
glider-19-19.json,100,19717473,1245292
glider-19-19.json,200,39415673,2487792
glider-19-19.json,300,59113873,3730292
glider-20-20.json,10,2200565,139789
glider-20-20.json,20,4388735,279146
glider-20-20.json,30,6580865,419691
glider-20-20.json,40,8772785,560173
glider-20-20.json,50,10966445,701177
glider-20-20.json,100,21948395,1410292
glider-20-20.json,200,43852595,2810612
glider-20-20.json,300,65711915,4197468
glider-25-25.json,10,3426705,215176
glider-25-25.json,20,6834185,429576
glider-25-25.json,30,10241665,643976
glider-25-25.json,40,13649145,858376
glider-25-25.json,50,17056625,1072776
glider-25-25.json,100,34094025,2144776
glider-25-25.json,200,68168825,4288776
glider-25-25.json,300,102243625,6432776
glider-30-30.json,10,4931105,309071
glider-30-30.json,20,9835085,617071
glider-30-30.json,30,14739065,925071
glider-30-30.json,40,19643045,1233071
glider-30-30.json,50,24547025,1541071
glider-30-30.json,100,49066925,3081071
glider-30-30.json,200,98106725,6161071
glider-30-30.json,300,147146525,9241071
glider-35-35.json,10,6708905,420016
glider-35-35.json,20,13381385,838616
glider-35-35.json,30,20053865,1257216
glider-35-35.json,40,26726345,1675816
glider-35-35.json,50,33398825,2094416
glider-35-35.json,100,66761225,4187416
glider-35-35.json,200,133486025,8373416
glider-35-35.json,300,200210825,12559416
glider-40-40.json,10,8760105,548011
glider-40-40.json,20,17473085,1094211
glider-40-40.json,30,26186065,1640411
glider-40-40.json,40,34899045,2186611
glider-40-40.json,50,43612025,2732811
glider-40-40.json,100,87176925,5463811
glider-40-40.json,200,174306725,10925811
glider-40-40.json,300,261436525,16387811
glider-45-45.json,10,11084705,693056
glider-45-45.json,20,22110185,1383856
glider-45-45.json,30,33135665,2074656
glider-45-45.json,40,44161145,2765456
glider-45-45.json,50,55186625,3456256
glider-45-45.json,100,110314025,6910256
glider-45-45.json,200,220568825,13818256
glider-45-45.json,300,330823625,20726256
glider-50-50.json,10,13682705,855151
glider-50-50.json,20,27292685,1707551
glider-50-50.json,30,40902665,2559951
glider-50-50.json,40,54512645,3412351
glider-50-50.json,50,68122625,4264751
glider-50-50.json,100,136172525,8526751
glider-50-50.json,200,272272325,17050751
glider-50-50.json,300,408372125,25574751
