mapFilename,iterations,block_jumps
glider-10-10.json,10,34882
glider-10-10.json,20,69589
glider-10-10.json,30,104289
glider-10-10.json,40,138989
glider-10-10.json,50,173689
glider-10-10.json,100,347189
glider-10-10.json,200,694189
glider-10-10.json,300,1041189
glider-11-11.json,10,42578
glider-11-11.json,20,84348
glider-11-11.json,30,126118
glider-11-11.json,40,167888
glider-11-11.json,50,209658
glider-11-11.json,100,418508
glider-11-11.json,200,836208
glider-11-11.json,300,1253908
glider-12-12.json,10,50715
glider-12-12.json,20,102017
glider-12-12.json,30,153508
glider-12-12.json,40,204018
glider-12-12.json,50,254366
glider-12-12.json,100,501030
glider-12-12.json,200,993530
glider-12-12.json,300,1486030
glider-13-13.json,10,60461
glider-13-13.json,20,118447
glider-13-13.json,30,176217
glider-13-13.json,40,233987
glider-13-13.json,50,291757
glider-13-13.json,100,580607
glider-13-13.json,200,1158307
glider-13-13.json,300,1736007
glider-14-14.json,10,60461
glider-14-14.json,20,118447
glider-14-14.json,30,176217
glider-14-14.json,40,233987
glider-14-14.json,50,291757
glider-14-14.json,100,580607
glider-14-14.json,200,1158307
glider-14-14.json,300,1736007
glider-15-15.json,10,81162
glider-15-15.json,20,162719
glider-15-15.json,30,244132
glider-15-15.json,40,324906
glider-15-15.json,50,404366
glider-15-15.json,100,798786
glider-15-15.json,200,1597787
glider-15-15.json,300,2374126
glider-16-16.json,10,90578
glider-16-16.json,20,180706
glider-16-16.json,30,270060
glider-16-16.json,40,360413
glider-16-16.json,50,449776
glider-16-16.json,100,902450
glider-16-16.json,200,1799320
glider-16-16.json,300,2682420
glider-17-17.json,10,103853
glider-17-17.json,20,207219
glider-17-17.json,30,311161
glider-17-17.json,40,414122
glider-17-17.json,50,517236
glider-17-17.json,100,1025966
glider-17-17.json,200,2043894
glider-17-17.json,300,3051994
glider-18-18.json,10,113454
glider-18-18.json,20,226364
glider-18-18.json,30,340642
glider-18-18.json,40,458250
glider-18-18.json,50,574994
glider-18-18.json,100,1136583
glider-18-18.json,200,2247683
glider-18-18.json,300,3358783
glider-19-19.json,10,126761
glider-19-19.json,20,251290
glider-19-19.json,30,375540
glider-19-19.json,40,499790
glider-19-19.json,50,624040
glider-19-19.json,100,1245290
glider-19-19.json,200,2487790
glider-19-19.json,300,3730290
glider-20-20.json,10,139787
glider-20-20.json,20,279144
glider-20-20.json,30,419689
glider-20-20.json,40,560171
glider-20-20.json,50,701175
glider-20-20.json,100,1410290
glider-20-20.json,200,2810610
glider-20-20.json,300,4197466
glider-25-25.json,10,215174
glider-25-25.json,20,429574
glider-25-25.json,30,643974
glider-25-25.json,40,858374
glider-25-25.json,50,1072774
glider-25-25.json,100,2144774
glider-25-25.json,200,4288767
glider-25-25.json,300,6432774
glider-30-30.json,10,309069
glider-30-30.json,20,617069
glider-30-30.json,30,925069
glider-30-30.json,40,1233069
glider-30-30.json,50,1541069
glider-30-30.json,100,3081069
glider-30-30.json,200,6161069
glider-30-30.json,300,9241069
glider-35-35.json,10,420014
glider-35-35.json,20,838614
glider-35-35.json,30,1257214
glider-35-35.json,40,1675814
glider-35-35.json,50,2094407
glider-35-35.json,100,4187414
glider-35-35.json,200,8373414
glider-35-35.json,300,12559414
glider-40-40.json,10,548009
glider-40-40.json,20,1094209
glider-40-40.json,30,1640409
glider-40-40.json,40,2186609
glider-40-40.json,50,2732809
glider-40-40.json,100,5463809
glider-40-40.json,200,10925809
glider-40-40.json,300,16387809
glider-45-45.json,10,693054
glider-45-45.json,20,1383854
glider-45-45.json,30,2074654
glider-45-45.json,40,2765454
glider-45-45.json,50,3456254
glider-45-45.json,100,6910254
glider-45-45.json,200,13818254
glider-45-45.json,300,20726254
glider-50-50.json,10,855149
glider-50-50.json,20,1707549
glider-50-50.json,30,2559949
glider-50-50.json,40,3412349
glider-50-50.json,50,4264749
glider-50-50.json,100,8526749
glider-50-50.json,200,17050749
glider-50-50.json,300,25574749
